ID,Wedstrijd,Starttijd,Thuisploeg,Uitploeg,Vraag,Keuze,Kans
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.71,24-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.14,28-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.65,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,3.96,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.7,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.69,28-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.17,28-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.71,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,4,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.2,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.68,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.73,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.1,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.67,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,3.89,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.72,27-03-2024 20:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.12,27-03-2024 20:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.74,27-03-2024 20:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.09,27-03-2024 20:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.64,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.8,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.71,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.14,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.67,28-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,4.1,29-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.9,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.18,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.63,29-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,4.2,29-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,5,28-03-2024 20:00:01
