KlassementKey,BeginDateKey,EindeDateKey,TeamKey,Stand,AantalGespeeld,AantalGewonnen,AantalGelijk,AantalVerloren,DoelpuntenVoor,DoelpuntenTegen,DoelpuntenSaldo,PuntenVoor2ptn,PuntenTegen2ptn,PuntenVoor3ptn
1,127,133,28,14,16,5,3,8,13,23,-10,13,19,18
2,127,133,50,15,16,2,5,9,15,31,-16,9,23,11
3,127,133,43,5,16,7,5,4,29,19,10,19,13,26
4,127,133,34,7,16,7,3,6,30,35,-5,17,15,24
5,127,133,19,8,16,7,2,7,32,24,8,16,16,23
6,127,133,17,10,16,7,1,8,22,31,-9,15,17,22
7,127,133,41,3,16,7,8,1,23,16,7,22,10,29
8,127,133,49,1,16,9,4,3,29,15,14,22,10,31
9,127,133,7,2,16,9,2,5,28,21,7,20,12,29
10,127,133,4,9,16,6,5,5,28,20,8,17,15,23
11,127,133,21,13,16,5,3,8,26,28,-2,13,19,18
12,127,133,53,4,16,8,3,5,30,22,8,19,13,27
13,127,133,1,11,16,4,7,5,21,23,-2,15,17,19
14,127,133,18,12,16,4,7,5,15,22,-7,15,17,19
15,127,133,39,6,16,8,1,7,29,22,7,17,15,25
16,127,133,29,16,16,2,3,11,11,29,-18,7,25,9
17,610,728,39,8,30,10,6,14,36,39,-3,26,34,36
18,610,728,1,5,30,13,9,8,41,34,7,35,25,48
19,610,728,18,14,30,8,9,13,37,39,-2,25,35,33
20,610,728,53,11,30,8,11,11,32,36,-4,27,33,35
21,610,728,21,3,30,15,10,5,67,43,24,40,20,55
22,610,728,7,6,30,11,8,11,46,47,-1,30,30,41
23,610,728,4,7,30,11,7,12,41,48,-7,29,31,40
24,610,728,49,2,30,18,4,8,57,31,26,40,20,58
25,610,728,41,4,30,13,10,7,34,24,10,36,24,49
26,610,728,43,1,30,21,7,2,75,29,46,49,11,70
27,610,728,57,13,30,9,6,15,39,64,-25,24,36,33
28,610,728,34,16,30,6,5,19,25,62,-37,17,43,23
29,610,728,17,9,30,10,6,14,49,58,-9,26,34,36
30,610,728,19,15,30,8,8,14,43,61,-18,24,36,32
31,610,728,28,10,30,9,9,12,50,45,5,27,33,36
32,610,728,36,12,30,9,7,14,40,52,-12,25,35,34
33,813,826,28,6,11,5,2,4,21,15,6,12,10,17
34,813,826,36,11,11,4,2,5,13,16,-3,10,12,14
35,813,826,48,12,11,4,2,5,9,12,-3,10,12,14
36,813,826,43,1,11,5,4,2,19,12,7,14,8,19
37,813,826,57,7,11,5,2,4,18,16,2,12,10,17
38,813,826,41,2,11,6,0,5,17,13,4,12,10,18
39,813,826,17,4,11,5,3,3,14,15,-1,13,9,18
40,813,826,8,5,11,5,2,4,25,16,9,12,10,17
41,813,826,49,3,11,5,3,3,18,9,9,13,9,18
42,813,826,7,9,11,5,2,4,16,18,-2,12,10,17
43,813,826,21,10,11,5,1,5,16,22,-6,11,11,16
44,813,826,4,13,11,4,2,5,20,24,-4,10,12,14
45,813,826,53,14,11,3,3,5,10,12,-2,9,13,12
46,813,826,1,8,11,5,2,4,14,13,1,12,10,17
47,813,826,18,15,11,2,4,5,11,17,-6,8,14,10
48,813,826,39,16,11,2,2,7,11,22,-11,6,16,8
49,967,973,39,16,22,5,5,12,23,39,-16,15,29,20
50,967,973,1,6,22,10,5,7,29,24,5,25,19,35
51,967,973,18,15,22,5,5,12,19,30,-11,15,29,20
52,967,973,53,14,22,5,8,9,19,21,-2,18,26,23
53,967,973,21,2,22,13,1,8,40,34,6,27,17,40
54,967,973,7,4,22,11,2,9,35,32,3,24,20,35
55,967,973,4,5,22,11,2,9,43,42,1,24,20,35
