Datum,StamnummerThuis,StamnummerUit,B365ThuisWint,B365Gelijkspel,B365UitWint,BWThuisWint,BWGelijkspel,BWUitWint,IWThuisWint,IWGelijkspel,IWUitWint,WHThuisWint,WHGelijkspel,WHUitWint,VCThuisWint,VCGelijkspel,VCUitWint,MeerDoelpunten>2.5,MinderDoelpunten<2.5
2000-08-12,2300,22,,,,,,,2.0,3.0,2.9,2.0,3.4,2.9,,,,,
2000-08-12,25,322,,,,,,,2.1,3.0,2.8,2.4,3.3,2.4,,,,,
2000-08-12,94,282,,,,,,,2.35,3.0,2.35,2.4,3.3,2.4,,,,,
2000-08-12,224,3530,,,,,,,1.8,3.0,3.5,,,,,,,,
2000-08-12,2024,1,,,,,,,1.75,3.1,3.6,1.61,3.6,4.2,,,,,
2000-08-13,373,35,,,,,,,3.8,3.2,1.65,3.8,3.5,1.7,,,,,
2000-08-13,1615,16,,,,,,,2.6,3.0,2.2,2.6,3.3,2.25,,,,,
2000-08-13,3,7,,,,,,,1.6,3.2,4.2,1.61,3.75,4.0,,,,,
2000-08-13,90,30,,,,,,,2.3,3.0,2.4,2.4,3.3,2.4,,,,,
2000-08-19,16,94,,,,,,,1.25,4.3,8.0,1.3,4.3,7.5,,,,,
2000-08-19,373,30,,,,,,,2.35,3.0,2.35,2.4,3.3,2.4,,,,,
2000-08-19,282,3530,,,,,,,1.9,2.9,3.2,2.15,3.3,2.7,,,,,
2000-08-19,7,25,,,,,,,1.4,3.6,5.5,1.5,3.6,5.2,,,,,
2000-08-19,22,1615,,,,,,,1.8,3.0,3.5,1.65,3.4,4.2,,,,,
2000-08-19,35,2024,,,,,,,1.3,4.0,7.0,1.35,4.1,6.5,,,,,
2000-08-19,322,90,,,,,,,1.55,3.3,4.5,1.3,4.25,7.5,,,,,
2000-08-19,1,2300,,,,,,,1.7,3.2,3.6,1.8,3.3,3.6,,,,,
2000-08-20,224,3,,,,,,,2.7,2.9,2.2,2.65,3.3,2.2,,,,,
2000-08-25,3530,16,,,,,,,2.35,3.0,2.35,2.45,3.3,2.35,,,,,
2000-08-26,373,322,,,,,,,2.35,3.0,2.35,2.55,3.3,2.25,,,,,
2000-08-26,35,2300,,,,,,,1.2,4.7,9.0,1.2,5.0,9.5,,,,,
2000-08-26,25,224,,,,,,,2.35,3.0,2.35,2.35,3.3,2.45,,,,,
2000-08-27,3,282,,,,,,,1.25,4.3,8.0,1.3,4.4,7.0,,,,,
2000-08-27,1615,94,,,,,,,1.75,3.2,3.4,1.7,3.4,3.9,,,,,
2000-08-27,2024,30,,,,,,,2.0,3.0,2.9,2.2,3.3,2.65,,,,,
2000-08-27,90,7,,,,,,,2.9,3.0,2.0,2.75,3.35,2.1,,,,,
2000-08-27,22,1,,,,,,,1.6,3.3,4.0,1.6,3.4,4.5,,,,,
2000-09-05,35,22,,,,,,,1.4,3.6,5.5,1.45,3.7,5.7,,,,,
2000-09-06,7,373,,,,,,,1.35,3.8,6.2,1.4,3.9,6.0,,,,,
2000-09-06,1,1615,,,,,,,1.85,3.0,3.3,1.85,3.45,3.25,,,,,
2000-09-06,94,3530,,,,,,,2.35,3.0,2.35,2.4,3.35,2.35,,,,,
2000-09-06,30,2300,,,,,,,1.35,3.8,6.2,1.45,3.75,5.5,,,,,
2000-09-06,282,25,,,,,,,1.55,3.3,4.5,1.7,3.5,3.8,,,,,
2000-09-06,224,90,,,,,,,1.3,4.0,7.0,1.35,4.1,6.5,,,,,
2000-09-06,16,3,,,,,,,2.35,3.0,2.35,2.4,3.2,2.45,,,,,
2000-09-06,322,2024,,,,,,,1.85,3.0,3.3,1.65,3.5,4.1,,,,,
2000-09-09,373,224,,,,,,,2.8,3.0,2.1,2.5,3.3,2.3,,,,,
2000-09-09,2024,7,,,,,,,2.2,3.0,2.6,2.15,3.4,2.65,,,,,
2000-09-09,25,16,,,,,,,2.8,3.0,2.1,2.35,3.4,2.15,,,,,
2000-09-09,2300,322,,,,,,,2.6,3.0,2.2,2.55,3.35,2.25,,,,,
2000-09-09,1,35,,,,,,,3.8,3.2,1.65,4.0,3.5,1.65,,,,,
2000-09-09,22,30,,,,,,,2.1,3.0,2.8,2.2,3.35,2.6,,,,,
2000-09-10,90,282,,,,,,,2.3,3.1,2.3,2.4,3.35,2.35,,,,,
2000-09-10,3,94,,,,,,,1.15,5.5,11.0,1.15,6.0,10.0,,,,,
2000-09-10,1615,3530,,,,,,,2.3,3.1,2.3,2.35,3.35,2.4,,,,,
2000-09-16,16,90,,,,,,,1.25,4.3,8.0,1.2,5.3,8.5,,,,,
2000-09-16,224,2024,,,,,,,1.6,3.3,4.0,1.7,3.45,3.8,,,,,
2000-09-16,282,373,,,,,,,1.5,3.4,4.7,1.6,3.6,4.25,,,,,
2000-09-16,94,25,,,,,,,2.2,3.0,2.6,2.15,3.35,2.65,,,,,
2000-09-16,35,1615,,,,,,,1.15,5.5,11.0,1.2,5.5,8.0,,,,,
2000-09-16,7,2300,,,,,,,1.35,3.8,6.2,1.45,3.8,5.4,,,,,
2000-09-16,30,1,,,,,,,1.3,4.0,7.0,1.5,3.7,5.0,,,,,
2000-09-17,3530,3,,,,,,,3.2,3.1,1.85,3.1,3.3,1.95,,,,,
2000-09-17,322,22,,,,,,,2.1,3.0,2.8,1.9,3.4,3.15,,,,,
2000-09-22,35,30,,,,,,,1.4,3.6,5.5,1.35,4.1,6.5,,,,,
2000-09-23,2024,282,,,,,,,1.7,3.1,3.8,1.65,3.5,4.1,,,,,
2000-09-23,22,7,,,,,,,2.2,3.0,2.6,2.2,3.35,2.6,,,,,
2000-09-23,25,3530,,,,,,,2.3,3.0,2.4,2.3,3.35,2.45,,,,,
2000-09-23,2300,224,,,,,,,3.1,3.0,1.9,2.6,3.35,2.2,,,,,
2000-09-23,373,16,,,,,,,3.2,3.1,1.85,3.2,3.5,1.85,,,,,
2000-09-24,90,94,,,,,,,1.9,2.9,3.2,2.0,3.4,2.9,,,,,
2000-09-24,1615,3,,,,,,,4.7,3.4,1.5,4.25,3.6,1.6,,,,,
2000-09-29,224,22,,,,,,,1.75,3.1,3.6,1.9,3.4,3.15,,,,,
2000-09-30,3530,90,,,,,,,1.4,3.6,5.5,1.35,3.9,7.0,,,,,
2000-09-30,94,373,,,,,,,2.1,3.0,2.8,2.2,3.3,2.65,,,,,
2000-09-30,30,1615,,,,,,,1.3,4.0,7.0,1.35,4.1,6.5,,,,,
2000-09-30,282,2300,,,,,,,1.45,3.5,5.0,1.55,3.75,4.4,,,,,
2000-09-30,16,2024,,,,,,,1.6,3.3,4.0,1.55,3.75,4.4,,,,,
2000-10-01,7,1,,,,,,,1.3,4.0,7.0,1.35,4.1,6.5,,,,,
2000-10-01,3,25,,,,,,,1.1,7.0,14.0,1.15,6.0,10.0,,,,,
2000-10-01,322,35,,,,,,,3.2,3.1,1.85,3.0,3.4,2.0,,,,,
2000-10-13,30,322,,,,,,,1.6,3.3,4.0,1.7,3.55,3.7,,,,,
2000-10-14,373,3530,,,,,,,2.35,3.0,2.35,2.5,3.25,2.3,,,,,
2000-10-14,22,282,,,,,,,1.7,3.2,3.6,1.65,3.55,4.0,,,,,
2000-10-14,1,224,,,,,,,3.3,3.1,1.8,3.15,3.5,1.85,,,,,
2000-10-14,35,7,,,,,,,1.3,4.0,7.0,1.35,4.0,6.7,,,,,
2000-10-14,2300,16,,,,,,,3.4,3.2,1.75,3.25,3.45,1.85,,,,,
2000-10-15,90,3,,,,,,,5.5,3.6,1.4,6.0,3.9,1.4,,,,,
2000-10-15,1615,25,,,,,,,1.75,3.1,3.6,1.9,3.45,3.1,,,,,
2000-10-15,2024,94,,,,,,,1.35,3.8,6.2,1.35,4.0,6.7,,,,,
2000-10-20,16,22,,,,,,,1.6,3.3,4.0,1.5,3.7,5.0,,,,,
2000-10-21,224,35,,,,,,,2.8,3.0,2.1,3.1,3.45,1.9,,,,,
2000-10-21,282,1,,,,,,,1.5,3.4,4.7,1.6,3.55,4.3,,,,,
2000-10-21,94,2300,,,,,,,2.0,3.0,2.9,2.15,3.3,2.7,,,,,
