ID,Startjaar,Eindjaar,Datum,Tijd,Thuisploeg,Score,Uitploeg
1,2002,2003,10/08,20:00,Beveren,3-0,Bergen
2,2002,2003,10/08,20:00,Germinal Beerschot,3-2,STVV
3,2002,2003,10/08,20:00,KRC Genk,2-3,Sporting Lokeren
4,2002,2003,10/08,20:00,KAA Gent,0-0,Antwerp
5,2002,2003,10/08,20:00,La Louvière,1-2,Club Brugge
6,2002,2003,10/08,20:00,KV Mechelen,1-0,Charleroi
7,2002,2003,10/08,20:00,Standard,0-3,Moeskroen
8,2002,2003,10/08,20:00,Westerlo,0-2,Anderlecht
9,2002,2003,17/08,20:00,Anderlecht,4-1,KV Mechelen
10,2002,2003,17/08,20:00,Antwerp,2-4,KRC Genk
11,2002,2003,17/08,20:00,Bergen,2-1,Westerlo
12,2002,2003,17/08,20:00,Club Brugge,3-0,Beveren
13,2002,2003,17/08,20:00,Charleroi,3-3,Standard
14,2002,2003,17/08,20:00,Lierse SK,1-1,La Louvière
15,2002,2003,17/08,20:00,Sporting Lokeren,3-1,Germinal Beerschot
16,2002,2003,17/08,20:00,Moeskroen,2-1,KAA Gent
17,2002,2003,24/08,20:00,Antwerp,3-1,Moeskroen
18,2002,2003,24/08,20:00,KRC Genk,5-2,Germinal Beerschot
19,2002,2003,24/08,20:00,KAA Gent,2-1,Charleroi
20,2002,2003,24/08,20:00,Lierse SK,2-0,Beveren
21,2002,2003,24/08,20:00,KV Mechelen,0-0,Bergen
22,2002,2003,24/08,20:00,Standard,0-2,Anderlecht
23,2002,2003,24/08,20:00,Westerlo,0-2,Club Brugge
24,2002,2003,25/08,20:00,La Louvière,1-2,STVV
25,2002,2003,31/08,20:00,Anderlecht,2-2,KAA Gent
26,2002,2003,31/08,20:00,Bergen,1-0,Standard
27,2002,2003,31/08,20:00,Club Brugge,4-0,KV Mechelen
28,2002,2003,31/08,20:00,Charleroi,1-1,Antwerp
29,2002,2003,31/08,20:00,Lierse SK,0-1,Westerlo
30,2002,2003,31/08,20:00,Sporting Lokeren,1-1,La Louvière
31,2002,2003,31/08,20:00,STVV,6-1,Beveren
32,2002,2003,01/09,20:00,Moeskroen,3-3,KRC Genk
33,2002,2003,13/09,20:00,La Louvière,1-1,Germinal Beerschot
34,2002,2003,13/09,20:00,Standard,1-2,Club Brugge
35,2002,2003,14/09,20:00,Beveren,0-1,Sporting Lokeren
36,2002,2003,14/09,20:00,KAA Gent,2-1,Bergen
37,2002,2003,14/09,20:00,KV Mechelen,0-2,Lierse SK
38,2002,2003,14/09,20:00,Moeskroen,6-0,Charleroi
39,2002,2003,14/09,20:00,Westerlo,0-3,STVV
40,2002,2003,15/09,20:00,Antwerp,2-1,Anderlecht
41,2002,2003,21/09,20:00,Anderlecht,6-3,Moeskroen
42,2002,2003,21/09,20:00,Bergen,3-0,Antwerp
43,2002,2003,21/09,20:00,Club Brugge,1-0,KAA Gent
44,2002,2003,21/09,20:00,Charleroi,0-0,KRC Genk
45,2002,2003,21/09,20:00,Germinal Beerschot,2-1,Beveren
46,2002,2003,21/09,20:00,Lierse SK,2-0,Standard
47,2002,2003,21/09,20:00,STVV,5-1,KV Mechelen
48,2002,2003,22/09,20:00,Sporting Lokeren,4-0,Westerlo
49,2002,2003,28/09,20:00,Charleroi,1-3,Anderlecht
50,2002,2003,28/09,20:00,KRC Genk,1-0,La Louvière
51,2002,2003,28/09,20:00,KAA Gent,1-3,Lierse SK
52,2002,2003,28/09,20:00,Moeskroen,0-5,Bergen
53,2002,2003,28/09,20:00,Standard,2-2,STVV
54,2002,2003,28/09,20:00,Westerlo,2-1,Germinal Beerschot
55,2002,2003,29/09,20:00,Antwerp,2-2,Club Brugge
56,2002,2003,29/09,20:00,KV Mechelen,2-3,Sporting Lokeren
57,2002,2003,04/10,20:00,La Louvière,2-1,Beveren
58,2002,2003,05/10,20:00,Anderlecht,1-1,KRC Genk
59,2002,2003,05/10,20:00,Bergen,4-1,Charleroi
60,2002,2003,05/10,20:00,Club Brugge,5-1,Moeskroen
61,2002,2003,05/10,20:00,Germinal Beerschot,2-2,KV Mechelen
62,2002,2003,05/10,20:00,Lierse SK,3-1,Antwerp
63,2002,2003,05/10,20:00,Sporting Lokeren,3-3,Standard
64,2002,2003,05/10,20:00,STVV,6-4,KAA Gent
65,2002,2003,19/10,20:00,KAA Gent,2-3,Sporting Lokeren
66,2002,2003,19/10,20:00,Moeskroen,1-1,Lierse SK
67,2002,2003,19/10,20:00,Standard,2-1,Germinal Beerschot
68,2002,2003,19/10,20:00,Anderlecht,2-1,Bergen
69,2002,2003,19/10,20:00,Antwerp,1-3,STVV
70,2002,2003,19/10,20:00,Charleroi,2-3,Club Brugge
71,2002,2003,19/10,20:00,KRC Genk,4-1,Beveren
72,2002,2003,20/10,20:00,Westerlo,0-3,La Louvière
73,2002,2003,25/10,20:00,La Louvière,1-1,KV Mechelen
74,2002,2003,26/10,20:00,Bergen,1-2,KRC Genk
75,2002,2003,26/10,20:00,Beveren,2-1,Westerlo
76,2002,2003,26/10,20:00,Germinal Beerschot,2-1,KAA Gent
77,2002,2003,26/10,20:00,Lierse SK,2-1,Charleroi
78,2002,2003,26/10,20:00,Sporting Lokeren,2-1,Antwerp
79,2002,2003,27/10,20:00,Club Brugge,2-1,Anderlecht
80,2002,2003,27/10,20:00,STVV,2-2,Moeskroen
81,2002,2003,02/11,20:00,Anderlecht,1-2,Lierse SK
82,2002,2003,02/11,20:00,Bergen,1-2,Club Brugge
83,2002,2003,02/11,20:00,Charleroi,2-2,STVV
84,2002,2003,02/11,20:00,Moeskroen,1-1,Sporting Lokeren
85,2002,2003,02/11,20:00,Standard,1-0,La Louvière
86,2002,2003,03/11,20:00,Antwerp,5-3,Germinal Beerschot
87,2002,2003,03/11,20:00,KRC Genk,1-1,Westerlo
88,2002,2003,03/11,20:00,KV Mechelen,0-2,Beveren
89,2002,2003,08/11,20:00,La Louvière,0-1,KAA Gent
90,2002,2003,09/11,20:00,Beveren,1-3,Standard
91,2002,2003,09/11,20:00,Club Brugge,4-0,KRC Genk
92,2002,2003,09/11,20:00,Germinal Beerschot,0-2,Moeskroen
93,2002,2003,09/11,20:00,Sporting Lokeren,4-1,Charleroi
94,2002,2003,09/11,20:00,STVV,3-1,Anderlecht
95,2002,2003,09/11,20:00,Westerlo,2-0,KV Mechelen
96,2002,2003,10/11,20:00,Lierse SK,1-1,Bergen
97,2002,2003,23/11,20:00,Anderlecht,2-0,Sporting Lokeren
98,2002,2003,23/11,20:00,Antwerp,2-1,La Louvière
99,2002,2003,23/11,20:00,Bergen,3-0,STVV
100,2002,2003,23/11,20:00,Club Brugge,3-0,Lierse SK
101,2002,2003,23/11,20:00,Charleroi,1-6,Germinal Beerschot
102,2002,2003,23/11,20:00,KRC Genk,9-0,KV Mechelen
103,2002,2003,23/11,20:00,KAA Gent,2-1,Beveren
104,2002,2003,23/11,20:00,Standard,3-0,Westerlo
105,2002,2003,29/11,20:00,La Louvière,2-0,Moeskroen
106,2002,2003,30/11,20:00,Beveren,3-1,Antwerp
107,2002,2003,30/11,20:00,Germinal Beerschot,1-2,Anderlecht
108,2002,2003,30/11,20:00,Lierse SK,1-1,KRC Genk
109,2002,2003,30/11,20:00,Sporting Lokeren,4-0,Bergen
110,2002,2003,30/11,20:00,KV Mechelen,1-1,Standard
