Stamnummer,Thuisploeg,Uitploeg
1,Royal Antwerp FC,Royal Antwerp FC
2,Daring Club Molenbeek,Daring Club Molenbeek
3,Club Brugge,Club Brugge
7,KAA Gent,KAA Gent
8,RCS Verviétois,RCS Verviétois
10,Union Sint-Gillis,Union Sint-Gillis
11,Koninklijke Racing Club Gent,Koninklijke Racing Club Gent
12,Cercle Brugge,Cercle Brugge
13,Beerschot VA,Beerschot VA
16,Standard Luik,Standard Luik
17,RFC Seraing,RFC Seraing
19,KV Kortrijk,KV Kortrijk
21,Tilleur FC,Tilleur FC
22,Sporting Charleroi,Sporting Charleroi
24,Racing Mechelen,Racing Mechelen
25,KV Mechelen,KV Mechelen
28,Berchem Sport,Berchem Sport
30,Koninklijke Lierse Sportkring,Koninklijke Lierse Sportkring
31,KV Oostende,KV Oostende
33,"Stade Verviétois, voorheen Racing Club Star Verviers","Stade Verviétois, voorheen Racing Club Star Verviers"
35,RSC Anderlecht,RSC Anderlecht
41,KFC Diest,KFC Diest
44,RAEC Mons,RAEC Mons
47,RWDM,RWDM
50,Union Scolaire Saint-Gilloise,Union Scolaire Saint-Gilloise
53,AS Oostende,AS Oostende
54,KSK Tongeren,KSK Tongeren
58,Boom FC,Boom FC
62,Anderlecht FC,Anderlecht FC
72,Daring Club Antoing,Daring Club Antoing
90,SC Eendracht Aalst,SC Eendracht Aalst
94,RAAL La Louvière,RAAL La Louvière
122,Kortrijk,Kortrijk
124,Luik,Luik
134,KSV Roeselare,KSV Roeselare
144,Union Gantoise,Union Gantoise
145,Beausejour FC Seraing,Beausejour FC Seraing
146,Daring Club Blankenberge,Daring Club Blankenberge
148,KFC Turnhout,KFC Turnhout
155,Beerschot VA,Beerschot VA
159,Kortrijk,Kortrijk
161,Stade Kortrijk,Stade Kortrijk
164,Union Sportive Péruwelzienne,Union Sportive Péruwelzienne
167,RFC Seraing,RFC Seraing
175,Aulnois Sporting Club,Aulnois Sporting Club
194,Brugge,Brugge
195,Gent,Gent
196,Luik,Luik
197,Luik,Luik
198,Mechelen,Mechelen
213,UR La Louvière Centre,UR La Louvière Centre
216,Royal Excel Moeskroen,Royal Excel Moeskroen
217,Luik,Luik
221,Sint-Niklase SK,Sint-Niklase SK
223,Daring Club Leuven,Daring Club Leuven
224,Excelsior Moeskroen,Excelsior Moeskroen
235,Union Sportive Couillet,Union Sportive Couillet
237,Luik,Luik
