Club
RSC Anderlecht
Waterschei THOR
Standard Luik
Eendracht Aalst
RFC Luik
Union SG
Daring Club
Beerschot AC
Antwerp FC
ARA Gent
Club Brugge
K Patro Eisden
Vervi�tois
St-Truidense VV
Lierse SK
Olymp. Charleroi
Cercle Brugge
KFC Diest
Beringen FC
Berchem Sport
KFC Turnhout
KV Mechelen
RFC Tilleur
RRC Br�ssel
R Charleroi SC
KSV Waregem
SK Beveren-Waes
Beerschot VAV
RCC Schaerbeek
AS Oostende KM
RWD Molenbeek
KSC Lokeren
KFC Winterslag
Mont.-sur-Sambre
La Louviere
Racing Mechelen
KV Kortrijk
Boom FC
KSK Beveren
KSC Hasselt
VAC Beerschot
RC Luik
KAA Gent
KSK Tongeren
RFC Seraing
K. St-Niklase SK
Racing Jet
KRC Genk
Germinal Ekeren
Lommel SK
KV Oostende
KRC Harelbeke
Exc. Mouscron
KVC Westerlo
Germ. Beerschot
KFCV Geel
RAEC Mons
Heusden-Zolder
FC Brussel
Zulte Waregem
KSV Roeselare
FCV Dender EH
AFC Tubize
KAS Eupen
OH Leuven
SK Beveren
Moeskroen
Waasland-Beveren
Beerschot V.A.
RWDM
