Seizoen,Stand,Club,Speeldag,AantalGewonnen,AantalGelijk,AantalVerloren,Doelpunten,Doelpuntensaldo,Punten
1960-1961,1,RSC Anderlecht,1,1,0,0,7:0,7,2:0
1960-1961,2,Waterschei THOR,1,1,0,0,5:0,5,2:0
1960-1961,3,Standard Luik,1,1,0,0,2:0,2,2:0
1960-1961,4,Eendracht Aalst,1,1,0,0,3:2,1,2:0
1960-1961,5,RFC Luik,1,1,0,0,2:1,1,2:0
1960-1961,5,Union SG,1,1,0,0,2:1,1,2:0
1960-1961,5,Daring Club,1,1,0,0,2:1,1,2:0
1960-1961,8,Beerschot AC,1,1,0,0,1:0,1,2:0
1960-1961,9,Antwerp FC,1,0,0,1,2:3,-1,0:2
1960-1961,10,ARA Gent,1,0,0,1,1:2,-1,0:2
1960-1961,10,Club Brugge,1,0,0,1,1:2,-1,0:2
1960-1961,10,K Patro Eisden,1,0,0,1,1:2,-1,0:2
1960-1961,13,Vervi�tois,1,0,0,1,0:1,-1,0:2
1960-1961,14,St-Truidense VV,1,0,0,1,0:2,-2,0:2
1960-1961,15,Lierse SK,1,0,0,1,0:5,-5,0:2
1960-1961,16,Olymp. Charleroi,1,0,0,1,0:7,-7,0:2
1960-1961,1,Waterschei THOR,2,2,0,0,8:1,7,4:0
1960-1961,2,Standard Luik,2,2,0,0,5:0,5,4:0
1960-1961,3,Union SG,2,2,0,0,5:1,4,4:0
1960-1961,4,RFC Luik,2,2,0,0,5:3,2,4:0
1960-1961,4,Daring Club,2,2,0,0,5:3,2,4:0
1960-1961,6,RSC Anderlecht,2,1,0,1,9:3,6,2:2
1960-1961,7,ARA Gent,2,1,0,1,4:2,2,2:2
1960-1961,8,Eendracht Aalst,2,1,0,1,3:5,-2,2:2
1960-1961,9,Beerschot AC,2,1,0,1,1:3,-2,2:2
1960-1961,10,Lierse SK,2,1,0,1,1:5,-4,2:2
1960-1961,11,Club Brugge,2,0,1,1,2:3,-1,1:3
1960-1961,11,K Patro Eisden,2,0,1,1,2:3,-1,1:3
1960-1961,13,Antwerp FC,2,0,0,2,4:6,-2,0:4
1960-1961,14,Vervi�tois,2,0,0,2,1:4,-3,0:4
1960-1961,15,St-Truidense VV,2,0,0,2,0:5,-5,0:4
1960-1961,16,Olymp. Charleroi,2,0,0,2,0:8,-8,0:4
1960-1961,1,Daring Club,3,3,0,0,8:4,4,6:0
1960-1961,2,RFC Luik,3,3,0,0,6:3,3,6:0
1960-1961,3,Standard Luik,3,2,1,0,5:0,5,5:1
1960-1961,4,Waterschei THOR,3,2,0,1,8:2,6,4:2
1960-1961,5,Union SG,3,2,0,1,5:2,3,4:2
1960-1961,6,Beerschot AC,3,2,0,1,4:3,1,4:2
1960-1961,7,RSC Anderlecht,3,1,1,1,9:3,6,3:3
1960-1961,8,Eendracht Aalst,3,1,1,1,3:5,-2,3:3
1960-1961,9,ARA Gent,3,1,0,2,5:5,0,2:4
1960-1961,10,Antwerp FC,3,1,0,2,5:6,-1,2:4
1960-1961,11,Club Brugge,3,0,2,1,3:4,-1,2:4
1960-1961,12,St-Truidense VV,3,1,0,2,2:5,-3,2:4
1960-1961,13,Lierse SK,3,1,0,2,1:8,-7,2:4
1960-1961,14,Vervi�tois,3,0,1,2,2:5,-3,1:5
1960-1961,14,K Patro Eisden,3,0,1,2,2:5,-3,1:5
1960-1961,16,Olymp. Charleroi,3,0,1,2,0:8,-8,1:5
1960-1961,1,Daring Club,4,4,0,0,12:7,5,8:0
1960-1961,2,RFC Luik,4,4,0,0,8:4,4,8:0
1960-1961,3,Standard Luik,4,3,1,0,8:0,8,7:1
1960-1961,4,RSC Anderlecht,4,2,1,1,12:4,8,5:3
1960-1961,5,Eendracht Aalst,4,2,1,1,7:5,2,5:3
1960-1961,6,Waterschei THOR,4,2,0,2,9:5,4,4:4
1960-1961,7,ARA Gent,4,2,0,2,8:5,3,4:4
1960-1961,8,Union SG,4,2,0,2,6:4,2,4:4
1960-1961,9,Beerschot AC,4,2,0,2,5:7,-2,4:4
1960-1961,10,Antwerp FC,4,1,1,2,5:6,-1,3:5
1960-1961,11,Club Brugge,4,0,3,1,3:4,-1,3:5
1960-1961,12,Olymp. Charleroi,4,1,1,2,4:9,-5,3:5
1960-1961,13,St-Truidense VV,4,1,0,3,2:8,-6,2:6
1960-1961,14,Lierse SK,4,1,0,3,4:12,-8,2:6
1960-1961,15,K Patro Eisden,4,0,1,3,2:8,-6,1:7
1960-1961,16,Vervi�tois,4,0,1,3,2:9,-7,1:7
1960-1961,1,Standard Luik,5,4,1,0,13:2,11,9:1
