Match_ID,Date,Time,Home_Team,Away_Team,Current_Score,Goal_Time,Scorer
4008203,"zondag,zo4 sep. 1960",15:00 uur,(7.)St-Truidense VV,SL(1.),0:1,14',István Sztáni
4008203,"zondag,zo4 sep. 1960",15:00 uur,(7.)St-Truidense VV,SL(1.),0:2,79',István Sztáni
4008204,"zondag,zo4 sep. 1960",15:00 uur,(12.)Eendracht Aalst,RAFC(8.),0:1,2',Eddy Bertels
4008204,"zondag,zo4 sep. 1960",15:00 uur,(12.)Eendracht Aalst,RAFC(8.),1:1,,
4008204,"zondag,zo4 sep. 1960",15:00 uur,(12.)Eendracht Aalst,RAFC(8.),2:1,,
4008204,"zondag,zo4 sep. 1960",15:00 uur,(12.)Eendracht Aalst,RAFC(8.),2:2,62',Eddy Bertels
4008204,"zondag,zo4 sep. 1960",15:00 uur,(12.)Eendracht Aalst,RAFC(8.),3:2,,
4008205,"zondag,zo4 sep. 1960",15:00 uur,(13.)Olymp. Charleroi,RSCA(3.),0:1,30',Paul Van Himst
4008205,"zondag,zo4 sep. 1960",15:00 uur,(13.)Olymp. Charleroi,RSCA(3.),0:2,37',Gaston De Wael
4008205,"zondag,zo4 sep. 1960",15:00 uur,(13.)Olymp. Charleroi,RSCA(3.),0:3,52',Jozsef Wölbling
4008205,"zondag,zo4 sep. 1960",15:00 uur,(13.)Olymp. Charleroi,RSCA(3.),0:4,59',Jacques Stockman
4008205,"zondag,zo4 sep. 1960",15:00 uur,(13.)Olymp. Charleroi,RSCA(3.),0:5,69',Jozsef Wölbling
4008205,"zondag,zo4 sep. 1960",15:00 uur,(13.)Olymp. Charleroi,RSCA(3.),0:6,75',Jozsef Wölbling
4008205,"zondag,zo4 sep. 1960",15:00 uur,(13.)Olymp. Charleroi,RSCA(3.),0:7,79',Paul Van Himst
4008206,"zondag,zo4 sep. 1960",15:00 uur,(4.)Beerschot AC,Vervié(15.),1:0,,
4008207,"zondag,zo4 sep. 1960",15:00 uur,(9.)Club Brugge,RUSG(14.),0:1,10',Jean-Pierre Janssens
4008207,"zondag,zo4 sep. 1960",15:00 uur,(9.)Club Brugge,RUSG(14.),1:1,,
4008207,"zondag,zo4 sep. 1960",15:00 uur,(9.)Club Brugge,RUSG(14.),1:2,36',Lucien Mertens
