Match_ID,Seizoen,Speeldag,Datum,Tijdstip,Thuisploeg,Resultaat_Thuisploeg,Resultaat_Uitploeg,Uitploeg,Thuisploeg_stamnummer,Uitploeg_stamnummer,Thuisploeg_roepnaam,Uitploeg_roepnaam
4008203,1960-1961,1,1960/09/04,15:00,St-Truidense VV,0,2,Standard Luik,373,16,Sint-Truidense VV,Standard Luik
4008204,1960-1961,1,1960/09/04,15:00,Eendracht Aalst,3,2,Antwerp FC,90,1,Eendracht Aalst,Royal Antwerp FC
4008205,1960-1961,1,1960/09/04,15:00,Olymp. Charleroi,0,7,RSC Anderlecht,246,35,Olympic Charleroi,RSC Anderlecht
4008206,1960-1961,1,1960/09/04,15:00,Beerschot AC,1,0,Verviétois,13,33,Beerschot,Verviétois
4008207,1960-1961,1,1960/09/04,15:00,Club Brugge,1,2,Union SG,3,10,Club Brugge,Union Saint-Gilloise
4008208,1960-1961,1,1960/09/04,15:00,Daring Club,2,1,K Patro Eisden,2,3434,Daring Club Brussel,Patro Eisden
4008209,1960-1961,1,1960/09/04,15:00,RFC Luik,2,1,ARA Gent,4,7,RFC Luik,KAA Gent
4008210,1960-1961,1,1960/09/04,15:00,Waterschei THOR,5,0,Lierse SK,553,30,Waterschei SV Thor,Lierse SK
4008211,1960-1961,2,1960/09/11,15:00,Standard Luik,3,0,Eendracht Aalst,16,90,Standard Luik,Eendracht Aalst
4008212,1960-1961,2,1960/09/11,15:00,RSC Anderlecht,2,3,RFC Luik,35,4,RSC Anderlecht,RFC Luik
4008213,1960-1961,2,1960/09/11,15:00,Antwerp FC,2,3,Daring Club,1,2,Royal Antwerp FC,Daring Club Brussel
4008214,1960-1961,2,1960/09/11,15:00,ARA Gent,3,0,Beerschot AC,7,13,KAA Gent,Beerschot
4008215,1960-1961,2,1960/09/11,15:00,K Patro Eisden,1,1,Club Brugge,3434,3,Patro Eisden,Club Brugge
4008216,1960-1961,2,1960/09/11,15:00,Lierse SK,1,0,Olymp. Charleroi,30,246,Lierse SK,Olympic Charleroi
4008217,1960-1961,2,1960/09/11,15:00,Union SG,3,0,St-Truidense VV,10,373,Union Saint-Gilloise,Sint-Truidense VV
4008218,1960-1961,2,1960/09/11,15:00,Verviétois,1,3,Waterschei THOR,33,553,Verviétois,Waterschei SV Thor
4008219,1960-1961,3,1960/09/18,15:00,Standard Luik,0,0,Olymp. Charleroi,16,246,Standard Luik,Olympic Charleroi
4008220,1960-1961,3,1960/09/18,15:00,Eendracht Aalst,0,0,RSC Anderlecht,90,35,Eendracht Aalst,RSC Anderlecht
4008221,1960-1961,3,1960/09/18,15:00,Union SG,0,1,Antwerp FC,10,1,Union Saint-Gilloise,Royal Antwerp FC
4008222,1960-1961,3,1960/09/18,15:00,Beerschot AC,3,0,Lierse SK,13,30,Beerschot,Lierse SK
4008223,1960-1961,3,1960/09/18,15:00,Club Brugge,1,1,Verviétois,3,33,Club Brugge,Verviétois
4008224,1960-1961,3,1960/09/18,15:00,Daring Club,3,1,ARA Gent,2,7,Daring Club Brussel,KAA Gent
4008225,1960-1961,3,1960/09/18,15:00,St-Truidense VV,2,0,K Patro Eisden,373,3434,Sint-Truidense VV,Patro Eisden
4008226,1960-1961,3,1960/09/18,15:00,Waterschei THOR,0,1,RFC Luik,553,4,Waterschei SV Thor,RFC Luik
4008227,1960-1961,4,1960/09/25,15:00,K Patro Eisden,0,3,Standard Luik,3434,16,Patro Eisden,Standard Luik
4008228,1960-1961,4,1960/09/25,15:00,Verviétois,0,4,Eendracht Aalst,33,90,Verviétois,Eendracht Aalst
4008229,1960-1961,4,1960/09/25,15:00,RSC Anderlecht,3,1,Waterschei THOR,35,553,RSC Anderlecht,Waterschei SV Thor
4008230,1960-1961,4,1960/09/25,15:00,Antwerp FC,0,0,Club Brugge,1,3,Royal Antwerp FC,Club Brugge
4008231,1960-1961,4,1960/09/25,15:00,Olymp. Charleroi,4,1,Beerschot AC,246,13,Olympic Charleroi,Beerschot
4008232,1960-1961,4,1960/09/25,15:00,Lierse SK,3,4,Daring Club,30,2,Lierse SK,Daring Club Brussel
4008233,1960-1961,4,1960/09/25,15:00,ARA Gent,3,0,St-Truidense VV,7,373,KAA Gent,Sint-Truidense VV
4008234,1960-1961,4,1960/09/25,15:00,RFC Luik,2,1,Union SG,4,10,RFC Luik,Union Saint-Gilloise
4008235,1960-1961,5,1960/10/09,15:00,Standard Luik,5,2,Verviétois,16,33,Standard Luik,Verviétois
4008236,1960-1961,5,1960/10/09,15:00,Union SG,5,2,Eendracht Aalst,10,90,Union Saint-Gilloise,Eendracht Aalst
4008237,1960-1961,5,1960/10/09,15:00,St-Truidense VV,2,2,RSC Anderlecht,373,35,Sint-Truidense VV,RSC Anderlecht
4008238,1960-1961,5,1960/10/09,15:00,Beerschot AC,2,1,Antwerp FC,13,1,Beerschot,Royal Antwerp FC
4008239,1960-1961,5,1960/10/09,15:00,Club Brugge,0,0,Waterschei THOR,3,553,Club Brugge,Waterschei SV Thor
4008240,1960-1961,5,1960/10/09,15:00,Daring Club,1,1,RFC Luik,2,4,Daring Club Brussel,RFC Luik
4008241,1960-1961,5,1960/10/09,15:00,K Patro Eisden,0,2,Lierse SK,3434,30,Patro Eisden,Lierse SK
4008242,1960-1961,5,1960/10/09,15:00,ARA Gent,1,1,Olymp. Charleroi,7,246,KAA Gent,Olympic Charleroi
4008243,1960-1961,6,1960/10/16,15:00,RFC Luik,0,0,Standard Luik,4,16,RFC Luik,Standard Luik
4008244,1960-1961,6,1960/10/16,15:00,Eendracht Aalst,3,0,St-Truidense VV,90,373,Eendracht Aalst,Sint-Truidense VV
4008245,1960-1961,6,1960/10/16,15:00,RSC Anderlecht,4,0,Lierse SK,35,30,RSC Anderlecht,Lierse SK
4008246,1960-1961,6,1960/10/16,15:00,Antwerp FC,2,2,K Patro Eisden,1,3434,Royal Antwerp FC,Patro Eisden
4008247,1960-1961,6,1960/10/16,15:00,Club Brugge,3,2,Beerschot AC,3,13,Club Brugge,Beerschot
4008248,1960-1961,6,1960/10/16,15:00,Olymp. Charleroi,2,1,Daring Club,246,2,Olympic Charleroi,Daring Club Brussel
4008249,1960-1961,6,1960/10/16,15:00,Waterschei THOR,2,2,ARA Gent,553,7,Waterschei SV Thor,KAA Gent
4008250,1960-1961,6,1960/10/16,15:00,Verviétois,1,0,Union SG,33,10,Verviétois,Union Saint-Gilloise
4008251,1960-1961,7,1960/10/23,15:00,Standard Luik,2,1,RSC Anderlecht,16,35,Standard Luik,RSC Anderlecht
4008252,1960-1961,7,1960/10/23,15:00,Eendracht Aalst,3,1,Club Brugge,90,3,Eendracht Aalst,Club Brugge
4008253,1960-1961,7,1960/10/23,15:00,Antwerp FC,4,1,Verviétois,1,33,Royal Antwerp FC,Verviétois
4008254,1960-1961,7,1960/10/23,15:00,Daring Club,0,0,Beerschot AC,2,13,Daring Club Brussel,Beerschot
4008255,1960-1961,7,1960/10/23,15:00,K Patro Eisden,2,1,Waterschei THOR,3434,553,Patro Eisden,Waterschei SV Thor
4008256,1960-1961,7,1960/10/23,15:00,Lierse SK,1,0,ARA Gent,30,7,Lierse SK,KAA Gent
4008257,1960-1961,7,1960/10/23,15:00,St-Truidense VV,1,0,RFC Luik,373,4,Sint-Truidense VV,RFC Luik
4008258,1960-1961,7,1960/10/23,15:00,Union SG,1,0,Olymp. Charleroi,10,246,Union Saint-Gilloise,Olympic Charleroi
4008259,1960-1961,8,1960/11/06,15:00,Beerschot AC,1,2,Standard Luik,13,16,Beerschot,Standard Luik
4008260,1960-1961,8,1960/11/06,15:00,ARA Gent,1,2,Eendracht Aalst,7,90,KAA Gent,Eendracht Aalst
