Seizoen,Speeldag,Stand,Stamnummer,Roepnaam,AantalGespeeld,AantalGewonnen,AantalGelijk,AantalVerloren,DoelpuntenVoor,DoelpuntenTegen,Doelpuntensaldo,Links_Tweepuntensysteem,Rechts_Tweepuntensysteem,Driepuntensysteem
1960,1,1,35,RSC Anderlecht,1,1,0,0,7,0,7,110,000,1110
1960,1,2,553,Waterschei SV Thor,1,1,0,0,5,0,5,110,000,1110
1960,1,3,16,Standard Luik,1,1,0,0,2,0,2,110,000,1110
1960,1,4,90,Eendracht Aalst,1,1,0,0,3,2,1,110,000,1110
1960,1,5,4,RFC Luik,1,1,0,0,2,1,1,110,000,1110
1960,1,5,10,Union Saint-Gilloise,1,1,0,0,2,1,1,110,000,1110
1960,1,5,2,Daring Club Brussel,1,1,0,0,2,1,1,110,000,1110
1960,1,8,13,Beerschot,1,1,0,0,1,0,1,110,000,1110
1960,1,9,1,Royal Antwerp FC,1,0,0,1,2,3,-1,000,110,0000
1960,1,10,7,KAA Gent,1,0,0,1,1,2,-1,000,110,0000
1960,1,10,3,Club Brugge,1,0,0,1,1,2,-1,000,110,0000
1960,1,10,3434,Patro Eisden,1,0,0,1,1,2,-1,000,110,0000
1960,1,13,33,Verviétois,1,0,0,1,0,1,-1,000,110,0000
1960,1,14,373,Sint-Truidense VV,1,0,0,1,0,2,-2,000,110,0000
1960,1,15,30,Lierse SK,1,0,0,1,0,5,-5,000,110,0000
1960,1,16,246,Olympic Charleroi,1,0,0,1,0,7,-7,000,110,0000
1960,2,1,553,Waterschei SV Thor,2,2,0,0,8,1,7,220,000,2220
1960,2,2,16,Standard Luik,2,2,0,0,5,0,5,220,000,2220
1960,2,3,10,Union Saint-Gilloise,2,2,0,0,5,1,4,220,000,2220
1960,2,4,4,RFC Luik,2,2,0,0,5,3,2,220,000,2220
1960,2,4,2,Daring Club Brussel,2,2,0,0,5,3,2,220,000,2220
1960,2,6,35,RSC Anderlecht,2,1,0,1,9,3,6,110,110,1110
1960,2,7,7,KAA Gent,2,1,0,1,4,2,2,110,110,1110
1960,2,8,90,Eendracht Aalst,2,1,0,1,3,5,-2,110,110,1110
1960,2,9,13,Beerschot,2,1,0,1,1,3,-2,110,110,1110
1960,2,10,30,Lierse SK,2,1,0,1,1,5,-4,110,110,1110
1960,2,11,3,Club Brugge,2,0,1,1,2,3,-1,001,111,0001
1960,2,11,3434,Patro Eisden,2,0,1,1,2,3,-1,001,111,0001
1960,2,13,1,Royal Antwerp FC,2,0,0,2,4,6,-2,000,220,0000
1960,2,14,33,Verviétois,2,0,0,2,1,4,-3,000,220,0000
1960,2,15,373,Sint-Truidense VV,2,0,0,2,0,5,-5,000,220,0000
1960,2,16,246,Olympic Charleroi,2,0,0,2,0,8,-8,000,220,0000
1960,3,1,2,Daring Club Brussel,3,3,0,0,8,4,4,330,000,3330
1960,3,2,4,RFC Luik,3,3,0,0,6,3,3,330,000,3330
1960,3,3,16,Standard Luik,3,2,1,0,5,0,5,221,001,2221
1960,3,4,553,Waterschei SV Thor,3,2,0,1,8,2,6,220,110,2220
1960,3,5,10,Union Saint-Gilloise,3,2,0,1,5,2,3,220,110,2220
1960,3,6,13,Beerschot,3,2,0,1,4,3,1,220,110,2220
1960,3,7,35,RSC Anderlecht,3,1,1,1,9,3,6,111,111,1111
1960,3,8,90,Eendracht Aalst,3,1,1,1,3,5,-2,111,111,1111
1960,3,9,7,KAA Gent,3,1,0,2,5,5,0,110,220,1110
1960,3,10,1,Royal Antwerp FC,3,1,0,2,5,6,-1,110,220,1110
1960,3,11,3,Club Brugge,3,0,2,1,3,4,-1,002,112,0002
1960,3,12,373,Sint-Truidense VV,3,1,0,2,2,5,-3,110,220,1110
1960,3,13,30,Lierse SK,3,1,0,2,1,8,-7,110,220,1110
1960,3,14,33,Verviétois,3,0,1,2,2,5,-3,001,221,0001
1960,3,14,3434,Patro Eisden,3,0,1,2,2,5,-3,001,221,0001
1960,3,16,246,Olympic Charleroi,3,0,1,2,0,8,-8,001,221,0001
1960,4,1,2,Daring Club Brussel,4,4,0,0,12,7,5,440,000,4440
1960,4,2,4,RFC Luik,4,4,0,0,8,4,4,440,000,4440
1960,4,3,16,Standard Luik,4,3,1,0,8,0,8,331,001,3331
1960,4,4,35,RSC Anderlecht,4,2,1,1,12,4,8,221,111,2221
1960,4,5,90,Eendracht Aalst,4,2,1,1,7,5,2,221,111,2221
1960,4,6,553,Waterschei SV Thor,4,2,0,2,9,5,4,220,220,2220
1960,4,7,7,KAA Gent,4,2,0,2,8,5,3,220,220,2220
1960,4,8,10,Union Saint-Gilloise,4,2,0,2,6,4,2,220,220,2220
1960,4,9,13,Beerschot,4,2,0,2,5,7,-2,220,220,2220
1960,4,10,1,Royal Antwerp FC,4,1,1,2,5,6,-1,111,221,1111
1960,4,11,3,Club Brugge,4,0,3,1,3,4,-1,003,113,0003
1960,4,12,246,Olympic Charleroi,4,1,1,2,4,9,-5,111,221,1111
1960,4,13,373,Sint-Truidense VV,4,1,0,3,2,8,-6,110,330,1110
1960,4,14,30,Lierse SK,4,1,0,3,4,12,-8,110,330,1110
1960,4,15,3434,Patro Eisden,4,0,1,3,2,8,-6,001,331,0001
1960,4,16,33,Verviétois,4,0,1,3,2,9,-7,001,331,0001
1960,5,1,16,Standard Luik,5,4,1,0,13,2,11,441,001,4441
