Match_ID,Seizoen,Speeldag,Datum,Tijdstip,Thuisploeg,Resultaat_Thuisploeg,Resultaat_Uitploeg,Uitploeg,Thuisploeg_stamnummer,Uitploeg_stamnummer
4008203,1960-1961,1,1960-09-04,15:00,Sint-Truidense VV,0,2,Standard Luik,373,16
4008204,1960-1961,1,1960-09-04,15:00,Eendracht Aalst,3,2,Royal Antwerp FC,90,1
4008205,1960-1961,1,1960-09-04,15:00,Olympic Charleroi,0,7,RSC Anderlecht,246,35
4008206,1960-1961,1,1960-09-04,15:00,Beerschot,1,0,Verviétois,13,33
4008207,1960-1961,1,1960-09-04,15:00,Club Brugge,1,2,Union Saint-Gilloise,3,10
4008208,1960-1961,1,1960-09-04,15:00,Daring Club Brussel,2,1,Patro Eisden,2,3434
4008209,1960-1961,1,1960-09-04,15:00,RFC Luik,2,1,KAA Gent,4,7
4008210,1960-1961,1,1960-09-04,15:00,Waterschei SV Thor,5,0,Lierse SK,553,30
4008211,1960-1961,2,1960-09-11,15:00,Standard Luik,3,0,Eendracht Aalst,16,90
4008212,1960-1961,2,1960-09-11,15:00,RSC Anderlecht,2,3,RFC Luik,35,4
4008213,1960-1961,2,1960-09-11,15:00,Royal Antwerp FC,2,3,Daring Club Brussel,1,2
4008214,1960-1961,2,1960-09-11,15:00,KAA Gent,3,0,Beerschot,7,13
4008215,1960-1961,2,1960-09-11,15:00,Patro Eisden,1,1,Club Brugge,3434,3
4008216,1960-1961,2,1960-09-11,15:00,Lierse SK,1,0,Olympic Charleroi,30,246
4008217,1960-1961,2,1960-09-11,15:00,Union Saint-Gilloise,3,0,Sint-Truidense VV,10,373
4008218,1960-1961,2,1960-09-11,15:00,Verviétois,1,3,Waterschei SV Thor,33,553
4008219,1960-1961,3,1960-09-18,15:00,Standard Luik,0,0,Olympic Charleroi,16,246
4008220,1960-1961,3,1960-09-18,15:00,Eendracht Aalst,0,0,RSC Anderlecht,90,35
4008221,1960-1961,3,1960-09-18,15:00,Union Saint-Gilloise,0,1,Royal Antwerp FC,10,1
4008222,1960-1961,3,1960-09-18,15:00,Beerschot,3,0,Lierse SK,13,30
4008223,1960-1961,3,1960-09-18,15:00,Club Brugge,1,1,Verviétois,3,33
4008224,1960-1961,3,1960-09-18,15:00,Daring Club Brussel,3,1,KAA Gent,2,7
4008225,1960-1961,3,1960-09-18,15:00,Sint-Truidense VV,2,0,Patro Eisden,373,3434
4008226,1960-1961,3,1960-09-18,15:00,Waterschei SV Thor,0,1,RFC Luik,553,4
4008227,1960-1961,4,1960-09-25,15:00,Patro Eisden,0,3,Standard Luik,3434,16
4008228,1960-1961,4,1960-09-25,15:00,Verviétois,0,4,Eendracht Aalst,33,90
4008229,1960-1961,4,1960-09-25,15:00,RSC Anderlecht,3,1,Waterschei SV Thor,35,553
4008230,1960-1961,4,1960-09-25,15:00,Royal Antwerp FC,0,0,Club Brugge,1,3
4008231,1960-1961,4,1960-09-25,15:00,Olympic Charleroi,4,1,Beerschot,246,13
4008232,1960-1961,4,1960-09-25,15:00,Lierse SK,3,4,Daring Club Brussel,30,2
4008233,1960-1961,4,1960-09-25,15:00,KAA Gent,3,0,Sint-Truidense VV,7,373
4008234,1960-1961,4,1960-09-25,15:00,RFC Luik,2,1,Union Saint-Gilloise,4,10
4008235,1960-1961,5,1960-10-09,15:00,Standard Luik,5,2,Verviétois,16,33
4008236,1960-1961,5,1960-10-09,15:00,Union Saint-Gilloise,5,2,Eendracht Aalst,10,90
4008237,1960-1961,5,1960-10-09,15:00,Sint-Truidense VV,2,2,RSC Anderlecht,373,35
4008238,1960-1961,5,1960-10-09,15:00,Beerschot,2,1,Royal Antwerp FC,13,1
4008239,1960-1961,5,1960-10-09,15:00,Club Brugge,0,0,Waterschei SV Thor,3,553
4008240,1960-1961,5,1960-10-09,15:00,Daring Club Brussel,1,1,RFC Luik,2,4
4008241,1960-1961,5,1960-10-09,15:00,Patro Eisden,0,2,Lierse SK,3434,30
4008242,1960-1961,5,1960-10-09,15:00,KAA Gent,1,1,Olympic Charleroi,7,246
4008243,1960-1961,6,1960-10-16,15:00,RFC Luik,0,0,Standard Luik,4,16
4008244,1960-1961,6,1960-10-16,15:00,Eendracht Aalst,3,0,Sint-Truidense VV,90,373
4008245,1960-1961,6,1960-10-16,15:00,RSC Anderlecht,4,0,Lierse SK,35,30
4008246,1960-1961,6,1960-10-16,15:00,Royal Antwerp FC,2,2,Patro Eisden,1,3434
4008247,1960-1961,6,1960-10-16,15:00,Club Brugge,3,2,Beerschot,3,13
4008248,1960-1961,6,1960-10-16,15:00,Olympic Charleroi,2,1,Daring Club Brussel,246,2
4008249,1960-1961,6,1960-10-16,15:00,Waterschei SV Thor,2,2,KAA Gent,553,7
4008250,1960-1961,6,1960-10-16,15:00,Verviétois,1,0,Union Saint-Gilloise,33,10
4008251,1960-1961,7,1960-10-23,15:00,Standard Luik,2,1,RSC Anderlecht,16,35
4008252,1960-1961,7,1960-10-23,15:00,Eendracht Aalst,3,1,Club Brugge,90,3
4008253,1960-1961,7,1960-10-23,15:00,Royal Antwerp FC,4,1,Verviétois,1,33
4008254,1960-1961,7,1960-10-23,15:00,Daring Club Brussel,0,0,Beerschot,2,13
4008255,1960-1961,7,1960-10-23,15:00,Patro Eisden,2,1,Waterschei SV Thor,3434,553
4008256,1960-1961,7,1960-10-23,15:00,Lierse SK,1,0,KAA Gent,30,7
4008257,1960-1961,7,1960-10-23,15:00,Sint-Truidense VV,1,0,RFC Luik,373,4
4008258,1960-1961,7,1960-10-23,15:00,Union Saint-Gilloise,1,0,Olympic Charleroi,10,246
4008259,1960-1961,8,1960-11-06,15:00,Beerschot,1,2,Standard Luik,13,16
4008260,1960-1961,8,1960-11-06,15:00,KAA Gent,1,2,Eendracht Aalst,7,90
4008261,1960-1961,8,1960-11-06,15:00,RSC Anderlecht,2,2,Verviétois,35,33
4008262,1960-1961,8,1960-11-06,15:00,Waterschei SV Thor,3,1,Royal Antwerp FC,553,1
4008263,1960-1961,8,1960-11-06,15:00,RFC Luik,1,1,Club Brugge,4,3
4008264,1960-1961,8,1960-11-06,15:00,Daring Club Brussel,1,3,Union Saint-Gilloise,2,10
4008265,1960-1961,8,1960-11-06,15:00,Olympic Charleroi,1,0,Patro Eisden,246,3434
4008266,1960-1961,8,1960-11-06,15:00,Lierse SK,2,0,Sint-Truidense VV,30,373
4008267,1960-1961,9,1960-11-13,15:00,Standard Luik,2,1,Lierse SK,16,30
4008268,1960-1961,9,1960-11-13,15:00,Eendracht Aalst,3,1,Waterschei SV Thor,90,553
4008269,1960-1961,9,1960-11-13,15:00,Union Saint-Gilloise,0,2,RSC Anderlecht,10,35
4008270,1960-1961,9,1960-11-13,15:00,Royal Antwerp FC,1,3,KAA Gent,1,7
4008271,1960-1961,9,1960-11-13,15:00,Patro Eisden,0,1,Beerschot,3434,13
4008272,1960-1961,9,1960-11-13,15:00,Club Brugge,4,2,Daring Club Brussel,3,2
4008273,1960-1961,9,1960-11-13,15:00,Verviétois,0,1,RFC Luik,33,4
4008274,1960-1961,9,1960-11-13,15:00,Sint-Truidense VV,1,1,Olympic Charleroi,373,246
4008275,1960-1961,10,1960-11-27,15:00,KAA Gent,2,1,Standard Luik,7,16
4008276,1960-1961,10,1960-11-27,15:00,Beerschot,9,2,Eendracht Aalst,13,90
4008277,1960-1961,10,1960-11-27,15:00,RSC Anderlecht,3,2,Royal Antwerp FC,35,1
4008278,1960-1961,10,1960-11-27,15:00,Olympic Charleroi,3,0,Club Brugge,246,3
4008279,1960-1961,10,1960-11-27,15:00,Daring Club Brussel,2,0,Verviétois,2,33
4008280,1960-1961,10,1960-11-27,15:00,RFC Luik,3,1,Patro Eisden,4,3434
4008281,1960-1961,10,1960-11-27,15:00,Lierse SK,3,2,Union Saint-Gilloise,30,10
4008282,1960-1961,10,1960-11-27,15:00,Waterschei SV Thor,2,1,Sint-Truidense VV,553,373
4008283,1960-1961,11,1960-12-04,14:45,Eendracht Aalst,2,0,Patro Eisden,90,3434
4008284,1960-1961,11,1960-12-04,14:45,RFC Luik,3,2,Beerschot,4,13
4008376,1960-1961,11,1961-03-12,15:00,Club Brugge,2,0,Sint-Truidense VV,3,373
4008379,1960-1961,11,1961-03-12,15:00,Waterschei SV Thor,5,0,Olympic Charleroi,553,246
4008375,1960-1961,11,1961-03-12,16:00,Union Saint-Gilloise,0,0,Standard Luik,10,16
4008381,1960-1961,11,1961-03-19,15:00,Royal Antwerp FC,2,1,Lierse SK,1,30
4008391,1960-1961,11,1961-03-29,19:30,RSC Anderlecht,1,0,Daring Club Brussel,35,2
