Match_ID,Seizoen,Speeldag,Datum,Tijdstip,Thuisploeg,Uitploeg,NaamScorendePloeg,GoalTijdstip,GoalScorer,StandThuisploeg,StandUitploeg,Thuisploeg_stamnummer,Uitploeg_stamnummer
4008203.0,1960-1961,1,1960/09/04,15:00:00,St-Truidense VV,SL,SL,15:14,István Sztáni,0,1,,
4008203.0,1960-1961,1,1960/09/04,15:00:00,St-Truidense VV,SL,SL,16:19,István Sztáni,0,2,,
4008204.0,1960-1961,1,1960/09/04,15:00:00,Eendracht Aalst,RAFC,RAFC,15:02,Eddy Bertels,0,1,,
4008204.0,1960-1961,1,1960/09/04,15:00:00,Eendracht Aalst,RAFC,Eendracht Aalst,15:18,Antoine Van Poelvoorde,1,1,,
4008204.0,1960-1961,1,1960/09/04,15:00:00,Eendracht Aalst,RAFC,Eendracht Aalst,15:26,Jan Van Poelvoorde,2,1,,
4008204.0,1960-1961,1,1960/09/04,15:00:00,Eendracht Aalst,RAFC,RAFC,16:02,Eddy Bertels,2,2,,
4008204.0,1960-1961,1,1960/09/04,15:00:00,Eendracht Aalst,RAFC,Eendracht Aalst,16:03,Antoine Van Poelvoorde,3,2,,
4008205.0,1960-1961,1,1960/09/04,15:00:00,Olymp. Charleroi,RSCA,RSCA,15:30,Paul Van Himst,0,1,,
4008205.0,1960-1961,1,1960/09/04,15:00:00,Olymp. Charleroi,RSCA,RSCA,15:37,Gaston De Wael,0,2,,
4008205.0,1960-1961,1,1960/09/04,15:00:00,Olymp. Charleroi,RSCA,RSCA,15:52,Jozsef Wölbling,0,3,,
4008205.0,1960-1961,1,1960/09/04,15:00:00,Olymp. Charleroi,RSCA,RSCA,15:59,Jacques Stockman,0,4,,
4008205.0,1960-1961,1,1960/09/04,15:00:00,Olymp. Charleroi,RSCA,RSCA,16:09,Jozsef Wölbling,0,5,,
4008205.0,1960-1961,1,1960/09/04,15:00:00,Olymp. Charleroi,RSCA,RSCA,16:15,Jozsef Wölbling,0,6,,
4008205.0,1960-1961,1,1960/09/04,15:00:00,Olymp. Charleroi,RSCA,RSCA,16:19,Paul Van Himst,0,7,,
4008206.0,1960-1961,1,1960/09/04,15:00:00,Beerschot AC,Vervié,Beerschot AC,15:41,Etienne Zaman,1,0,,
4008207.0,1960-1961,1,1960/09/04,15:00:00,Club Brugge,RUSG,RUSG,15:10,Jean-Pierre Janssens,0,1,3,
4008207.0,1960-1961,1,1960/09/04,15:00:00,Club Brugge,RUSG,Club Brugge,15:20,Alexis De Block,1,1,3,
4008207.0,1960-1961,1,1960/09/04,15:00:00,Club Brugge,RUSG,RUSG,15:36,Lucien Mertens,1,2,3,
4008209.0,1960-1961,1,1960/09/04,15:00:00,RFC Luik,Associ,Associ,15:27,Eric Lambert,0,1,,
4008209.0,1960-1961,1,1960/09/04,15:00:00,RFC Luik,Associ,RFC Luik,15:57,Jean-Marie Letawe,1,1,,
4008209.0,1960-1961,1,1960/09/04,15:00:00,RFC Luik,Associ,RFC Luik,16:12,Victor Wégria,2,1,,
4008210.0,1960-1961,1,1960/09/04,15:00:00,Waterschei THOR,Lierse,Waterschei THOR,15:21,Richard Leroux,1,0,,
4008210.0,1960-1961,1,1960/09/04,15:00:00,Waterschei THOR,Lierse,Waterschei THOR,15:30,Richard Leroux,2,0,,
4008210.0,1960-1961,1,1960/09/04,15:00:00,Waterschei THOR,Lierse,Waterschei THOR,15:43,Jozef Kortleven,3,0,,
