seizoen,seizoen_alternatief,datum,datum_key,tijdstip_match,tf_match_id,tf_clubid_thuis,tf_clubnaam_thuis,stamnummer_thuis,roepnaam_thuis,tf_clubid_uit,tf_clubnaam_uit,stamnummer_uit,roepnaam_uit,eindstand_thuis,eindstand_uit,type,minuten,tijdstip_doelpunt,tf_clubid_scorende_ploeg,stamnummer_scorende_ploeg,roepnaam_scorende_ploeg,tussenstand_thuis,tussenstand_uit
2009,09/10,2010-03-27,20100327,20:30,1003974,3057,Standard Luik,16,Standard Luik,172,R Charleroi SC,22,R Charleroi SC,2,0,Playoff_2,89,22:14,3057,16,Standard Luik,1,0
2009,09/10,2010-03-27,20100327,20:30,1003974,3057,Standard Luik,16,Standard Luik,172,R Charleroi SC,22,R Charleroi SC,2,0,Playoff_2,90,22:15,3057,16,Standard Luik,2,0
2009,09/10,2010-03-28,20100328,18:00,1003972,601,KV Kortrijk,19,KV Kortrijk,157,KAA Gent,7,KAA Gent,1,2,Playoff_1,44,18:44,601,19,KV Kortrijk,1,0
2009,09/10,2010-03-28,20100328,18:00,1003972,601,KV Kortrijk,19,KV Kortrijk,157,KAA Gent,7,KAA Gent,1,2,Playoff_1,88,19:43,157,7,KAA Gent,1,1
2009,09/10,2010-03-28,20100328,18:00,1003972,601,KV Kortrijk,19,KV Kortrijk,157,KAA Gent,7,KAA Gent,1,2,Playoff_1,90,19:45,157,7,KAA Gent,1,2
2009,09/10,2010-03-28,20100328,20:30,1003973,58,RSC Anderlecht,35,RSC Anderlecht,3508,Zulte Waregem,5381,SV Zulte Waregem,6,0,Playoff_1,9,20:39,58,35,RSC Anderlecht,1,0
2009,09/10,2010-03-28,20100328,20:30,1003973,58,RSC Anderlecht,35,RSC Anderlecht,3508,Zulte Waregem,5381,SV Zulte Waregem,6,0,Playoff_1,51,21:36,58,35,RSC Anderlecht,2,0
2009,09/10,2010-03-28,20100328,20:30,1003973,58,RSC Anderlecht,35,RSC Anderlecht,3508,Zulte Waregem,5381,SV Zulte Waregem,6,0,Playoff_1,57,21:42,58,35,RSC Anderlecht,3,0
2009,09/10,2010-03-28,20100328,20:30,1003973,58,RSC Anderlecht,35,RSC Anderlecht,3508,Zulte Waregem,5381,SV Zulte Waregem,6,0,Playoff_1,79,22:04,58,35,RSC Anderlecht,4,0
2009,09/10,2010-03-28,20100328,20:30,1003973,58,RSC Anderlecht,35,RSC Anderlecht,3508,Zulte Waregem,5381,SV Zulte Waregem,6,0,Playoff_1,83,22:08,58,35,RSC Anderlecht,5,0
2009,09/10,2010-03-28,20100328,20:30,1003973,58,RSC Anderlecht,35,RSC Anderlecht,3508,Zulte Waregem,5381,SV Zulte Waregem,6,0,Playoff_1,86,22:11,58,35,RSC Anderlecht,6,0
2009,09/10,2010-03-30,20100330,20:00,1003975,566,Germ. Beerschot,3530,Germinal,1184,KRC Genk,322,KRC Genk,1,3,Playoff_2,18,20:18,1184,322,KRC Genk,0,1
2009,09/10,2010-03-30,20100330,20:00,1003975,566,Germ. Beerschot,3530,Germinal,1184,KRC Genk,322,KRC Genk,1,3,Playoff_2,84,21:39,1184,322,KRC Genk,0,2
2009,09/10,2010-03-30,20100330,20:00,1003975,566,Germ. Beerschot,3530,Germinal,1184,KRC Genk,322,KRC Genk,1,3,Playoff_2,87,21:42,566,3530,Germinal,1,2
2009,09/10,2010-03-30,20100330,20:00,1003975,566,Germ. Beerschot,3530,Germinal,1184,KRC Genk,322,KRC Genk,1,3,Playoff_2,90,21:45,1184,322,KRC Genk,1,3
2009,09/10,2010-03-31,20100331,20:30,1003976,968,KVC Westerlo,2024,KVC Westerlo,354,KV Mechelen,25,KV Mechelen,0,2,Playoff_2,80,22:05,354,25,KV Mechelen,0,1
2009,09/10,2010-03-31,20100331,20:30,1003976,968,KVC Westerlo,2024,KVC Westerlo,354,KV Mechelen,25,KV Mechelen,0,2,Playoff_2,90,22:15,354,25,KV Mechelen,0,2
2009,09/10,2010-03-31,20100331,20:30,1003977,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2,2,20:32,520,12,Cercle Brugge,0,1
2009,09/10,2010-03-31,20100331,20:30,1003977,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2,9,20:39,498,282,KSC Lokeren,1,1
2009,09/10,2010-03-31,20100331,20:30,1003977,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2,19,20:49,498,282,KSC Lokeren,2,1
2009,09/10,2010-03-31,20100331,20:30,1003977,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2,51,21:36,520,12,Cercle Brugge,2,2
2009,09/10,2010-03-31,20100331,20:30,1003977,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2,58,21:43,498,282,KSC Lokeren,3,2
2009,09/10,2010-03-31,20100331,20:30,1003977,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2,75,22:00,498,282,KSC Lokeren,4,2
2009,09/10,2010-03-31,20100331,20:30,1003977,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2,90,22:15,520,12,Cercle Brugge,4,3
2009,09/10,2010-03-31,20100331,20:30,1003977,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2,90,22:15,498,282,KSC Lokeren,5,3
2009,09/10,2010-03-31,20100331,20:30,1004210,3508,Zulte Waregem,5381,SV Zulte Waregem,475,St-Truidense VV,373,Sint-Truidense VV,1,2,Playoff_1,41,21:11,475,373,Sint-Truidense VV,0,1
2009,09/10,2010-03-31,20100331,20:30,1004210,3508,Zulte Waregem,5381,SV Zulte Waregem,475,St-Truidense VV,373,Sint-Truidense VV,1,2,Playoff_1,75,22:00,475,373,Sint-Truidense VV,0,2
