seizoen;speeldag;datum
1960;1;1960/09/04
1960;2;1960/09/11
1960;3;1960/09/18
1960;4;1960/09/25
1960;5;1960/10/09
1960;6;1960/10/16
1960;7;1960/10/23
1960;8;1960/11/06
1960;9;1960/11/13
1960;10;1960/11/27
1960;11;1960/12/04
1960;12;1960/12/11
1960;13;1960/12/18
1960;14;1960/12/25
1960;15;1961/01/01
1960;16;1961/01/08
1960;17;1961/01/15
1960;18;1961/01/22
1960;19;1961/01/29
1960;20;1961/02/05
1960;21;1961/02/12
1960;22;1961/02/19
1960;23;1961/02/26
1960;24;1961/03/05
1960;25;1961/03/26
1960;26;1961/04/09
1960;27;1961/04/16
1960;28;1961/04/23
1960;29;1961/04/30
1960;30;1961/05/07
1961;1;1961/09/03
1961;2;1961/09/10
1961;3;1961/09/17
1961;4;1961/09/24
1961;5;1961/10/01
1961;6;1961/10/08
1961;7;1961/10/15
1961;8;1961/10/22
1961;9;1961/10/29
1961;10;1961/11/05
1961;11;1961/11/19
1961;12;1961/11/26
1961;13;1961/12/03
1961;14;1961/12/10
1961;15;1961/12/17
1961;16;1961/12/31
1961;17;1962/01/07
1961;18;1962/01/14
1961;19;1962/01/21
1961;20;1962/01/28
1961;21;1962/02/04
1961;22;1962/02/11
1961;23;1962/02/18
1961;24;1962/02/25
1961;25;1962/03/18
1961;26;1962/03/25
1961;27;1962/04/08
1961;28;1962/04/15
1961;29;1962/04/29
1961;30;1962/05/06
1962;1;1962/09/02
1962;2;1962/09/09
1962;3;1962/09/16
1962;4;1962/09/23
1962;5;1962/09/30
1962;6;1962/10/07
1962;7;1962/10/21
1962;8;1962/10/28
1962;9;1962/11/11
1962;10;1962/11/18
1962;11;1962/11/25
1962;12;1962/12/09
1962;13;1962/12/16
1962;14;1962/12/23
1962;15;1963/03/10
1962;16;1963/03/17
1962;17;1963/03/24
1962;18;1963/03/31
1962;19;1963/04/07
1962;20;1963/04/14
1962;21;1963/04/21
1962;22;1963/04/28
1962;23;1963/05/05
1962;24;1963/05/08
1962;25;1963/05/12
1962;26;1963/05/15
1962;27;1963/05/19
1962;28;1963/05/26
1962;29;1963/06/02
1962;30;1963/06/09
1963;1;1963/09/08
1963;2;1963/09/15
1963;3;1963/09/22
1963;4;1963/09/29
1963;5;1963/10/06
1963;6;1963/10/13
1963;7;1963/10/27
1963;8;1963/11/03
1963;9;1963/11/10
1963;10;1963/11/17
1963;11;1963/11/24
1963;12;1963/12/08
1963;13;1963/12/15
1963;14;1963/12/22
1963;15;1963/12/29
1963;16;1964/01/05
1963;17;1964/01/12
1963;18;1964/01/19
1963;19;1964/01/26
1963;20;1964/02/02
1963;21;1964/02/09
1963;22;1964/02/16
1963;23;1964/02/23
1963;24;1964/03/01
1963;25;1964/03/08
1963;26;1964/03/15
1963;27;1964/04/05
1963;28;1964/04/12
1963;29;1964/04/19
1963;30;1964/04/26
1964;1;1964/09/06
1964;2;1964/09/13
1964;3;1964/09/20
1964;4;1964/09/27
1964;5;1964/10/11
1964;6;1964/10/18
1964;7;1964/10/25
1964;8;1964/11/08
1964;9;1964/11/15
1964;10;1964/11/22
1964;11;1964/11/29
1964;12;1964/12/06
1964;13;1964/12/13
1964;14;1964/12/20
1964;15;1964/12/27
1964;16;1965/01/10
1964;17;1965/01/17
1964;18;1965/01/24
1964;19;1965/01/31
1964;20;1965/02/07
1964;21;1965/02/14
1964;22;1965/02/21
1964;23;1965/03/07
1964;24;1965/03/14
