tf_match_id,seizoen,seizoen_alternatief,datum,datum_key,tijdstip,tf_clubid_thuis,tf_clubnaam_thuis,stamnummer_thuis,roepnaam_thuis,tf_clubid_uit,tf_clubnaam_uit,stamnummer_uit,roepnaam_uit,stand_thuis,stand_uit,type
1003971,2009,09/10,2010-03-27,20100327,18:30,475,St-Truidense VV,373,Sint-Truidense VV,2282,Club Brugge,3,Club Brugge,0,0,Playoff_1
1003974,2009,09/10,2010-03-27,20100327,20:30,3057,Standard Luik,16,Standard Luik,172,R Charleroi SC,22,R Charleroi SC,2,0,Playoff_2
1003972,2009,09/10,2010-03-28,20100328,18:00,601,KV Kortrijk,19,KV Kortrijk,157,KAA Gent,7,KAA Gent,1,2,Playoff_1
1003973,2009,09/10,2010-03-28,20100328,20:30,58,RSC Anderlecht,35,RSC Anderlecht,3508,Zulte Waregem,5381,SV Zulte Waregem,6,0,Playoff_1
1003975,2009,09/10,2010-03-30,20100330,20:00,566,Germ. Beerschot,3530,Germinal,1184,KRC Genk,322,KRC Genk,1,3,Playoff_2
1004210,2009,09/10,2010-03-31,20100331,20:30,3508,Zulte Waregem,5381,SV Zulte Waregem,475,St-Truidense VV,373,Sint-Truidense VV,1,2,Playoff_1
1004211,2009,09/10,2010-03-31,20100331,20:30,2282,Club Brugge,3,Club Brugge,601,KV Kortrijk,19,KV Kortrijk,3,0,Playoff_1
1004212,2009,09/10,2010-03-31,20100331,20:30,157,KAA Gent,7,KAA Gent,58,RSC Anderlecht,35,RSC Anderlecht,1,3,Playoff_1
1003976,2009,09/10,2010-03-31,20100331,20:30,968,KVC Westerlo,2024,KVC Westerlo,354,KV Mechelen,25,KV Mechelen,0,2,Playoff_2
1003977,2009,09/10,2010-03-31,20100331,20:30,498,KSC Lokeren,282,KSC Lokeren,520,Cercle Brugge,12,Cercle Brugge,5,3,Playoff_2
1004487,2009,09/10,2010-04-03,20100403,20:00,58,RSC Anderlecht,35,RSC Anderlecht,2282,Club Brugge,3,Club Brugge,2,2,Playoff_1
1004490,2009,09/10,2010-04-03,20100403,20:00,354,KV Mechelen,25,KV Mechelen,498,KSC Lokeren,282,KSC Lokeren,3,1,Playoff_2
1004492,2009,09/10,2010-04-03,20100403,20:00,172,R Charleroi SC,22,R Charleroi SC,566,Germ. Beerschot,3530,Germinal,0,1,Playoff_2
1004491,2009,09/10,2010-04-03,20100403,20:00,520,Cercle Brugge,12,Cercle Brugge,968,KVC Westerlo,2024,KVC Westerlo,2,0,Playoff_2
1004493,2009,09/10,2010-04-04,20100404,20:30,1184,KRC Genk,322,KRC Genk,3057,Standard Luik,16,Standard Luik,1,0,Playoff_2
1004488,2009,09/10,2010-04-05,20100405,18:00,601,KV Kortrijk,19,KV Kortrijk,475,St-Truidense VV,373,Sint-Truidense VV,1,2,Playoff_1
1004489,2009,09/10,2010-04-05,20100405,20:30,3508,Zulte Waregem,5381,SV Zulte Waregem,157,KAA Gent,7,KAA Gent,1,2,Playoff_1
1005315,2009,09/10,2010-04-09,20100409,20:30,475,St-Truidense VV,373,Sint-Truidense VV,58,RSC Anderlecht,35,RSC Anderlecht,1,1,Playoff_1
1005316,2009,09/10,2010-04-10,20100410,18:00,601,KV Kortrijk,19,KV Kortrijk,3508,Zulte Waregem,5381,SV Zulte Waregem,2,0,Playoff_1
1005743,2009,09/10,2010-04-10,20100410,20:00,172,R Charleroi SC,22,R Charleroi SC,1184,KRC Genk,322,KRC Genk,1,2,Playoff_2
1005741,2009,09/10,2010-04-10,20100410,20:00,498,KSC Lokeren,282,KSC Lokeren,968,KVC Westerlo,2024,KVC Westerlo,3,3,Playoff_2
1005742,2009,09/10,2010-04-10,20100410,20:00,354,KV Mechelen,25,KV Mechelen,520,Cercle Brugge,12,Cercle Brugge,1,0,Playoff_2
1005317,2009,09/10,2010-04-11,20100411,20:30,2282,Club Brugge,3,Club Brugge,157,KAA Gent,7,KAA Gent,1,1,Playoff_1
1005744,2009,09/10,2010-04-11,20100411,18:00,3057,Standard Luik,16,Standard Luik,566,Germ. Beerschot,3530,Germinal,3,0,Playoff_2
