Match_ID,Seizoen,Speeldag,Datum,Tijdstip,Thuisploeg,Resultaat_Thuisploeg,Resultaat_Uitploeg,Uitploeg
4008203,1960-1961,1,"zondag,zo4 sep. 1960",15:00 uur,St-Truidense VV,0,2,Standard Luik
4008204,1960-1961,1,"zondag,zo4 sep. 1960",15:00 uur,Eendracht Aalst,3,2,Antwerp FC
4008205,1960-1961,1,"zondag,zo4 sep. 1960",15:00 uur,Olymp. Charleroi,0,7,RSC Anderlecht
4008206,1960-1961,1,"zondag,zo4 sep. 1960",15:00 uur,Beerschot AC,1,0,Verviétois
4008207,1960-1961,1,"zondag,zo4 sep. 1960",15:00 uur,Club Brugge,1,2,Union SG
4008208,1960-1961,1,"zondag,zo4 sep. 1960",15:00 uur,Daring Club,2,1,K Patro Eisden
4008209,1960-1961,1,"zondag,zo4 sep. 1960",15:00 uur,RFC Luik,2,1,ARA Gent
4008210,1960-1961,1,"zondag,zo4 sep. 1960",15:00 uur,Waterschei THOR,5,0,Lierse SK
4008211,1960-1961,2,"zondag,zo11 sep. 1960",15:00 uur,Standard Luik,3,0,Eendracht Aalst
4008212,1960-1961,2,"zondag,zo11 sep. 1960",15:00 uur,RSC Anderlecht,2,3,RFC Luik
4008213,1960-1961,2,"zondag,zo11 sep. 1960",15:00 uur,Antwerp FC,2,3,Daring Club
4008214,1960-1961,2,"zondag,zo11 sep. 1960",15:00 uur,ARA Gent,3,0,Beerschot AC
4008215,1960-1961,2,"zondag,zo11 sep. 1960",15:00 uur,K Patro Eisden,1,1,Club Brugge
4008216,1960-1961,2,"zondag,zo11 sep. 1960",15:00 uur,Lierse SK,1,0,Olymp. Charleroi
4008217,1960-1961,2,"zondag,zo11 sep. 1960",15:00 uur,Union SG,3,0,St-Truidense VV
4008218,1960-1961,2,"zondag,zo11 sep. 1960",15:00 uur,Verviétois,1,3,Waterschei THOR
4008219,1960-1961,3,"zondag,zo18 sep. 1960",15:00 uur,Standard Luik,0,0,Olymp. Charleroi
4008220,1960-1961,3,"zondag,zo18 sep. 1960",15:00 uur,Eendracht Aalst,0,0,RSC Anderlecht
4008221,1960-1961,3,"zondag,zo18 sep. 1960",15:00 uur,Union SG,0,1,Antwerp FC
4008222,1960-1961,3,"zondag,zo18 sep. 1960",15:00 uur,Beerschot AC,3,0,Lierse SK
4008223,1960-1961,3,"zondag,zo18 sep. 1960",15:00 uur,Club Brugge,1,1,Verviétois
4008224,1960-1961,3,"zondag,zo18 sep. 1960",15:00 uur,Daring Club,3,1,ARA Gent
