Stamnummer,Thuisploeg,Uitploeg
1,Royal Antwerp FC,Royal Antwerp FC
2,Daring Club Molenbeek,Daring Club Molenbeek
3,Club Brugge,Club Brugge
4,RFC de Liège,RFC de Liège
5,Royal Léopold FC,Royal Léopold FC
6,KFC Rhodienne-De Hoek,KFC Rhodienne-De Hoek
7,KAA Gent,KAA Gent
8,RCS Verviétois,RCS Verviétois
9,Royale Union Limbourg FC,Royale Union Limbourg FC
10,Union Sint-Gillis,Union Sint-Gillis
11,Koninklijke Racing Club Gent,Koninklijke Racing Club Gent
12,Cercle Brugge,Cercle Brugge
13,Beerschot VA,Beerschot VA
14,RAF Franchimontois,RAF Franchimontois
15,Royal Uccle Sport,Royal Uccle Sport
16,Standard Luik,Standard Luik
17,RFC Seraing,RFC Seraing
18,Oud-Heverlee Leuven,Oud-Heverlee Leuven
19,KV Kortrijk,KV Kortrijk
20,Royal Excelsior Sports Club,Royal Excelsior Sports Club
21,Tilleur FC,Tilleur FC
22,Sporting Charleroi,Sporting Charleroi
23,RFC Sérésien,RFC Sérésien
24,Racing Mechelen,Racing Mechelen
25,KV Mechelen,KV Mechelen
26,RFC Tournai,RFC Tournai
27,Union Metropolitain Anvers,Union Metropolitain Anvers
28,Berchem Sport,Berchem Sport
29,Saint-Ignace SC Antwerpen,Saint-Ignace SC Antwerpen
30,Koninklijke Lierse Sportkring,Koninklijke Lierse Sportkring
31,KV Oostende,KV Oostende
32,Herve FC,Herve FC
33,"Stade Verviétois, voorheen Racing Club Star Verviers","Stade Verviétois, voorheen Racing Club Star Verviers"
34,SRU Verviers,SRU Verviers
35,RSC Anderlecht,RSC Anderlecht
36,RRC Tournai,RRC Tournai
37,K. Sporting Hasselt,K. Sporting Hasselt
38,KSK Ronse,KSK Ronse
39,Fenixx BeigHum,Fenixx BeigHum
40,RUS Gold Star Liège,RUS Gold Star Liège
41,KFC Diest,KFC Diest
42,Ixelles SC,Ixelles SC
43,Cappellen FC,Cappellen FC
44,RAEC Mons,RAEC Mons
45,Rust-Roest Brugge,Rust-Roest Brugge
46,RFC Renaisien,RFC Renaisien
47,RWDM,RWDM
48,KSC Blankenberge,KSC Blankenberge
49,Vilvoorde FC,Vilvoorde FC
50,Union Scolaire Saint-Gilloise,Union Scolaire Saint-Gilloise
51,RCS La Forestoise,RCS La Forestoise
