seizoen;speeldag;datum
60/61;1;1960/09/04
60/61;2;1960/09/11
60/61;3;1960/09/18
60/61;4;1960/09/25
60/61;5;1960/10/09
60/61;6;1960/10/16
60/61;7;1960/10/23
60/61;8;1960/11/06
60/61;9;1960/11/13
60/61;10;1960/11/27
60/61;11;1960/12/04
60/61;12;1960/12/11
60/61;13;1960/12/18
60/61;14;1960/12/25
60/61;15;1961/01/01
60/61;16;1961/01/08
60/61;17;1961/01/15
60/61;18;1961/01/22
60/61;19;1961/01/29
60/61;20;1961/02/05
60/61;21;1961/02/12
60/61;22;1961/02/19
60/61;23;1961/02/26
60/61;24;1961/03/05
60/61;25;1961/03/26
60/61;26;1961/04/09
60/61;27;1961/04/16
60/61;28;1961/04/23
60/61;29;1961/04/30
60/61;30;1961/05/07
61/62;1;1961/09/03
61/62;2;1961/09/10
61/62;3;1961/09/17
61/62;4;1961/09/24
61/62;5;1961/10/01
61/62;6;1961/10/08
61/62;7;1961/10/15
61/62;8;1961/10/22
61/62;9;1961/10/29
61/62;10;1961/11/05
61/62;11;1961/11/19
61/62;12;1961/11/26
61/62;13;1961/12/03
61/62;14;1961/12/10
61/62;15;1961/12/17
61/62;16;1961/12/31
61/62;17;1962/01/07
61/62;18;1962/01/14
61/62;19;1962/01/21
61/62;20;1962/01/28
61/62;21;1962/02/04
61/62;22;1962/02/11
61/62;23;1962/02/18
61/62;24;1962/02/25
61/62;25;1962/03/18
61/62;26;1962/03/25
61/62;27;1962/04/08
61/62;28;1962/04/15
61/62;29;1962/04/29
61/62;30;1962/05/06
62/63;1;1962/09/02
62/63;2;1962/09/09
62/63;3;1962/09/16
62/63;4;1962/09/23
62/63;5;1962/09/30
62/63;6;1962/10/07
62/63;7;1962/10/21
62/63;8;1962/10/28
62/63;9;1962/11/11
62/63;10;1962/11/18
62/63;11;1962/11/25
62/63;12;1962/12/09
62/63;13;1962/12/16
62/63;14;1962/12/23
62/63;15;1963/03/10
62/63;16;1963/03/17
62/63;17;1963/03/24
62/63;18;1963/03/31
62/63;19;1963/04/07
62/63;20;1963/04/14
62/63;21;1963/04/21
62/63;22;1963/04/28
62/63;23;1963/05/05
62/63;24;1963/05/08
62/63;25;1963/05/12
62/63;26;1963/05/15
62/63;27;1963/05/19
62/63;28;1963/05/26
62/63;29;1963/06/02
62/63;30;1963/06/09
63/64;1;1963/09/08
63/64;2;1963/09/15
63/64;3;1963/09/22
63/64;4;1963/09/29
63/64;5;1963/10/06
63/64;6;1963/10/13
63/64;7;1963/10/27
63/64;8;1963/11/03
63/64;9;1963/11/10
63/64;10;1963/11/17
63/64;11;1963/11/24
63/64;12;1963/12/08
63/64;13;1963/12/15
63/64;14;1963/12/22
63/64;15;1963/12/29
63/64;16;1964/01/05
63/64;17;1964/01/12
63/64;18;1964/01/19
63/64;19;1964/01/26
63/64;20;1964/02/02
63/64;21;1964/02/09
63/64;22;1964/02/16
63/64;23;1964/02/23
63/64;24;1964/03/01
63/64;25;1964/03/08
63/64;26;1964/03/15
63/64;27;1964/04/05
63/64;28;1964/04/12
63/64;29;1964/04/19
63/64;30;1964/04/26
64/65;1;1964/09/06
64/65;2;1964/09/13
64/65;3;1964/09/20
64/65;4;1964/09/27
64/65;5;1964/10/11
64/65;6;1964/10/18
64/65;7;1964/10/25
64/65;8;1964/11/08
64/65;9;1964/11/15
64/65;10;1964/11/22
64/65;11;1964/11/29
64/65;12;1964/12/06
64/65;13;1964/12/13
64/65;14;1964/12/20
64/65;15;1964/12/27
64/65;16;1965/01/10
64/65;17;1965/01/17
64/65;18;1965/01/24
64/65;19;1965/01/31
64/65;20;1965/02/07
64/65;21;1965/02/14
64/65;22;1965/02/21
64/65;23;1965/03/07
64/65;24;1965/03/14
64/65;25;1965/03/21
64/65;26;1965/03/28
64/65;27;1965/04/04
64/65;28;1965/04/11
64/65;29;1965/04/25
64/65;30;1965/05/02
65/66;1;1965/09/05
65/66;2;1965/09/12
65/66;3;1965/09/19
65/66;4;1965/10/03
65/66;5;1965/10/10
65/66;6;1965/10/17
65/66;7;1965/10/31
65/66;8;1965/11/07
65/66;9;1965/11/14
65/66;10;1965/11/21
65/66;11;1965/11/28
65/66;12;1965/12/05
65/66;13;1965/12/12
65/66;14;1965/12/19
65/66;15;1965/12/26
65/66;16;1966/01/09
65/66;17;1966/01/16
65/66;18;1966/01/23
65/66;19;1966/01/30
65/66;20;1966/02/06
65/66;21;1966/02/13
65/66;22;1966/02/20
65/66;23;1966/02/27
65/66;24;1966/03/06
65/66;25;1966/03/13
65/66;26;1966/03/20
65/66;27;1966/03/27
65/66;28;1966/04/03
65/66;29;1966/05/08
65/66;30;1966/05/15
66/67;1;1966/09/04
66/67;2;1966/09/11
66/67;3;1966/09/18
66/67;4;1966/09/25
66/67;5;1966/10/02
66/67;6;1966/10/09
66/67;7;1966/10/16
66/67;8;1966/10/30
66/67;9;1966/11/06
66/67;10;1966/11/20
66/67;11;1966/11/27
66/67;12;1966/12/04
66/67;13;1966/12/11
66/67;14;1966/12/18
66/67;15;1967/01/08
66/67;16;1967/01/15
66/67;17;1967/01/22
66/67;18;1967/01/29
66/67;19;1967/02/05
66/67;20;1967/02/12
66/67;21;1967/02/19
66/67;22;1967/02/26
66/67;23;1967/03/05
